question;reponse;state;point;date;historique;days_before_last
Quel service utiliser pour lancer un conteneur Docker ?; Amazon ECS (Elastic Container Service) ;1;1.0;2024-03-10;nan 2024-03-09/ 2024-03-10/;1.0
Quelle est la différence entre Fargate et ECS ?; Fargate est sans serveur et ne nécessite pas le provisionnement d'instances EC2 ;1;1.0;2024-03-11;nan 2024-03-09/ 2024-03-10/ 2024-03-11/;1.0
À quoi sert ECR ? Elastic Container Registry sert à stocker les images Docker ; 0 ;2;;2024-03-11;nan 2024-03-11/;3.0
Comment est géré le tarif d'une fonction Lambda ?; En fonction du temps et de la mémoire allouée ;1;1.0;2024-03-09; 2024-03-09/;2.0
À quoi sert Amazon API Gateway ?; C'est un service pour créer et maintenir des API (sans serveur et scalable) ;1;1.0;2024-03-10;nan 2024-03-09/ 2024-03-10/;1.0
Quels sont les deux services à mettre entre un client et une base de données DynamoDB ?; Amazon API Gateway + Fonction Lambda ;1;1.0;2024-03-10; 2024-03-09/ 2024-03-10/;1.0
Quelle est la différence entre Batch et Lambda ? ; Batch n'a pas de limite de temps, Lambda a une limite de temps de fonctionnement, et Lambda est sans serveur et a un espace de disque temporairement limité ;1;1.0;2024-03-10;2024-03-09/ 2024-03-10/;1.0
Quelle est la définition de Lightsail ? ; Lightsail offre des instances de serveurs virtuels pré-configurées avec un ensemble fixe de ressources matérielles ;1;1.0;2024-03-10;2024-03-09/ 2024-03-10/;1.0
Quels sont les 2 cas d'utilisation de Lambda ?; Générer des miniatures (thumbnails), Exécuter des tâches périodiques sans serveur (Run serverless cron job) ;1;1.0;2024-03-11;nan 2024-03-10/ 2024-03-11/;1.0
Quel service une entreprise peut-elle utiliser pour exécuter des milliers de tâches sans avoir à gérer les ressources informatiques ? ; AWS Batch ;1;1.0;2024-03-10;nan 2024-03-10/;1.0
CloudFormation est un infrastructure as code, qu'est-ce que cela signifie ? ; Les ressources ne sont pas créées manuellement, mais à travers du code (Template) (idéal pour le contrôle) ;1;1.0;2024-03-10;nan 2024-03-10/;1.0
À quoi sert CDK (Cloud Development Kit) ? ; À définir une infrastructure cloud en utilisant n'importe quel langage ;1;1.0;2024-03-10;nan 2024-03-10/;1.0
Quelle est la différence entre Beanstalk et CloudFormation ? ; Beanstalk est un service géré (PaaS), tandis que CloudFormation est un service d'infrastructure en tant que code (IaaS) ;1;1.0;2024-03-10;nan 2024-03-10/;1.0
Pourquoi AWS CodeDeploy est-il hybride ? ; Parce qu'il permet de déployer du code sur des instances EC2 ou locales (on premise) ;1;1.0;2024-03-11;nan 2024-03-10/ 2024-03-11/;1.0
Quel est l'équivalent de GitHub sur AWS ? ; CodeCommit ;1;1.0;2024-03-10;nan 2024-03-10/;1.0
Quel service orchestre l'ensemble des services pour le développement CI/CD ? ; CodePipeline (automatise un pipeline) ;1;1.0;2024-03-10;nan 2024-03-10/;1.0
Quel est l'IDE développé par AWS ? ; Cloud9 ;1;1.0;2024-03-10;nan 2024-03-10/;1.0
Avec quoi peut-on patcher l'ensemble de ses instances et serveurs sur site ? ; SSM (Systems Manager) ;1;1.0;2024-03-10;nan 2024-03-10/;1.0
Quelles sont les 3 façons d'accéder à une instance EC2 ? ; Ouvrir le port 22 et établir une connexion SSH, Utiliser EC2 Instance Connect, Utiliser Session Manager avec un rôle IAM approprié ;1;2.0;2024-03-11;nan 2024-03-10/ 2024-03-11/;1.0
Ou stocker ses librairies?; CodeArtifact;1;1.0;2024-03-10;nan 2024-03-10/;1.0
Quel outil permet de developper et deployer rapidement une application sur AWS avec une interface utilisateur unifiée?; Codestar;1;1.0;2024-03-10;nan 2024-03-10/;1.0
